Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
$nake’s Mappack,4:30.345 / Lyren,226 days,2,★☆☆☆☆,★★☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
1187: Episode One,29:43 / Lyren,1067 days,2,★★★☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,"Propclip, state preserve (timescale)",,,,,,,,,,,,,1067 
A Venetian Welcome,34.48 / Lyren,552 days,1,★☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,552 
A2B Trajectory,3:54.33 / Lyren,911 days,1,★☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,911 
A2B Trajectory 2,3:46.74 / Lyren,911 days,1,★★☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,911 
A2B Trajectory 3,3:20.25 / Lyren,912 days,1,★★☆☆☆,★★☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,912 
Amalgam,8:57.255 / Lyren,497 days,2,★★★★☆,☆☆☆☆☆,-,6:34 (HL1 movement + cutsceneless),Cutsceneless Mod,🞪,🞪,✓,✓,,,,,,,,,,,,,,497 
Antracide,1:21.435 / Lyren,201 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Area 17,25.425 / Lyren,313 days,2,★☆☆☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Avenue Odessa,9:30.34 / Lyren,2171 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,2171 
Awakening,3:07.590 / Lyren,95 days,12,★★★☆☆,★★★★☆,-,-,-,✓,✓,🞪,✓,,,,,,,,,,,,,,95 
Bear Party: Adventure,14:54.360 / snowi,1695 days,19,★★★★★,☆☆☆☆☆,-,-,download,🞪,✓,🞪,?,Bunnyhop,,,,,,,,,,,,,1695 
BL Onirico,34.575 / Lyren,201 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,Ladder clip,,,,,,,,,,,,,
Blasted Lands,8:54.855 / Lyren,187 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,,,,,,,,,,,,,,
CALL IN,3:54.69 / Enterprise,364 days,4,★★★★★,☆☆☆☆☆,-,0:55 by Rama,-,✓,✓,🞪,?,,,,,,,,,,,,,,364 
Causality Effect,15:46 / Lyren,818 days,1,★★★☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,818 
